Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          366    7    0    0  0    2   1    8    2
1            8  602    0    2  0    0   0    2    6
2            0    0  729    3  0    4   0    0    0
3            0    0    5  108  1    2   0    1    2
4            0    0    1    1  1    3   0    0    5
5            1    0   17    7  1  151   0    3    8
6            0    2    0    0  0    0  96    0    2
7            7    8    3    1  0    4   0  282    2
8            0    3    0    2  1    1   0    1  246
