Predicted    0    1    2  3  4   5  6   7   8
Actual                                       
0          144    0    2  0  0   2  0   5   0
1            5  233    2  0  0   2  0   1   4
2            0    0  250  0  0  43  0   0   0
3            0    1    0  0  0  43  0   2   0
4            0    0    0  0  0   2  0   0   1
5            6    2    0  0  0  56  0  10   0
6            0    1    0  0  0   1  0   0  37
7            8    4    0  0  0   7  0  99   3
8            0    6    0  0  0  17  0  22  55
