Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          129   18    1   0  0   0   0    5   0
1            2  237    0   1  0   1   0    5   1
2            0    0  292   1  0   0   0    0   0
3            0    2   14  29  0   0   0    1   0
4            0    0    2   0  0   0   0    1   0
5            6    3   22  12  0  30   0    0   1
6            0    1    0   0  0   1  35    1   1
7            5    9    2   2  0   1   0  101   1
8            1    5    2  18  0   1   0    5  68
