Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          373    5    0    0  0    2   0    4    2
1            7  603    0    0  0    0   1    4    5
2            0    0  729    1  0    5   0    1    0
3            0    2    1  109  1    4   1    1    0
4            0    0    1    0  6    0   0    0    4
5            3    2   11    8  4  151   0    4    5
6            0    2    0    0  0    0  92    4    2
7           14    4    2    3  2    1   0  279    2
8            2    6    0    1  2    1   1    1  240
