Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          362    9    0    1  0    4   0    9    1
1            5  594    2    1  0    3   0   11    4
2            0    0  732    2  0    2   0    0    0
3            0    2    6  105  0    6   0    0    0
4            0    0    1    0  1    5   1    0    3
5            0    2   17    4  1  157   0    4    3
6            0    2    0    0  2    2  91    0    3
7           10    5    3    7  0    2   0  279    1
8            2    5    1    1  0    4   4    3  234
