Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          369    5    1    0  0    4   1    6    0
1            3  603    0    0  0    3   0    9    2
2            0    0  730    2  0    4   0    0    0
3            0    1   12  101  1    3   0    0    1
4            0    0    1    0  1    5   0    2    2
5            1    1   17    7  1  157   0    3    1
6            1    1    0    2  0    0  91    3    2
7            8    5    3    2  0    6   0  281    2
8            1    6    0    1  1    7   0    3  235
