Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          362    8    0    0  0    2   0   13    1
1            5  604    0    2  0    0   4    1    4
2            0    0  730    2  0    4   0    0    0
3            0    2   10  101  0    3   1    2    0
4            0    0    1    0  3    5   0    0    2
5            3    1    8    2  1  168   0    2    3
6            0    4    0    4  0    1  91    0    0
7            7    7    4    2  1    2   1  282    1
8            0    7    0    1  2    5   0    5  234
