Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          361    8    1    0  0    2   0   14    0
1            4  596    0    1  0    5   3    5    6
2            0    0  733    2  0    1   0    0    0
3            0    2   10  103  0    2   1    1    0
4            0    0    2    1  3    4   0    1    0
5            0    2   43    4  0  133   0    4    2
6            0    0    1    2  0    0  94    2    1
7            8    7    4    2  0    3   0  282    1
8            0    4    1    1  0    1   0    9  238
