Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          375    1    1   0  1    1   1    6    0
1           10  593    0   0  0    2   1    9    5
2            0    0  731   0  0    2   0    2    1
3            0    2    7  94  0   14   0    1    1
4            0    0    2   1  2    3   0    0    3
5            1    0   57   3  0  125   0    2    0
6            0    0    0   0  0    0  95    4    1
7           10    4    5   0  0    2   0  285    1
8            2    6    2   2  0    6   0    3  233
