Predicted    0    1    2  3  4  5   6   7   8
Actual                                       
0          144    2    1  0  0  0   0   6   0
1           10  232    5  0  0  0   0   0   0
2            0    0  293  0  0  0   0   0   0
3            1    1   44  0  0  0   0   0   0
4            0    0    3  0  0  0   0   0   0
5            8    1   47  0  0  0   0  18   0
6            2    1    1  0  0  0  14   0  21
7            8    5   97  0  0  0   0   9   2
8            4    4   67  0  0  0   0   2  23
