Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          373    3    1    0  0    1   2    5    1
1           12  598    0    0  0    1   0    5    4
2            0    0  730    2  0    4   0    0    0
3            0    1    9  104  0    2   1    1    1
4            0    0    1    0  3    3   0    0    4
5            1    0   27    6  0  147   1    5    1
6            0    1    0    0  1    1  95    0    2
7           13    4    4    1  0    3   0  279    3
8            0    3    1    1  0    4   3    1  241
