Predicted    0    1    2   3  4   5   6    7   8
Actual                                          
0          131    0    0   0  0   2   1   19   0
1           13  224    1   1  0   3   0    0   5
2            0    0  250   0  0  43   0    0   0
3            0    1    0  26  0  16   0    2   1
4            0    0    0   0  0   2   0    0   1
5            2    1    2   0  0  49   0    6  14
6            0    2    0   0  0   0  36    0   1
7            7    2    0   0  0   3   0  102   7
8            1    3    0   0  0  12   1    1  82
