Predicted    0    1   2   3  4   5   6   7   8
Actual                                        
0          149    2   1   0  0   0   0   1   0
1           11  230   1   0  0   1   1   1   2
2            0  249  43   0  0   1   0   0   0
3            1    1  12  10  0  17   0   1   4
4            0    0   2   0  0   0   0   0   1
5            8    2  24   0  0  23   0  12   5
6            1    2   1   0  0   0  34   0   1
7           11    2   2   0  0   2   2  97   5
8            2    6   7   0  0  19   1   2  63
