Predicted    0    1    2    3  4    5   6    7    8
Actual                                             
0          365    5    1    0  0    3   1   10    1
1           12  591    0    0  0    1   2    8    6
2            0    0  729    2  0    5   0    0    0
3            0    1    9  103  0    4   0    0    2
4            0    0    2    1  1    4   0    0    3
5            1    1   32    5  0  139   0    5    5
6            0    2    0    2  0    0  94    2    0
7           11    5    4    1  0    2   0  283    1
8            0    8    0    1  0    8   2    6  229
