Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          362    6    1   0  0    1   0   13    3
1           16  588    0   4  0    3   0    4    5
2            0    0  730   3  0    3   0    0    0
3            0    2   19  69  0   19   0    3    7
4            0    0    1   0  0    7   0    2    1
5           12    6   49   4  0  110   0    0    7
6            0    3    0   4  0    1  87    1    4
7           24   10    3   8  0    6   0  249    7
8            1   11    1   3  0   49   2   17  170
