Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          358    4    3   1  0    3   1    8    8
1           17  580    0   2  0    3   1    2   15
2            0    0  728   5  0    3   0    0    0
3            0    1    5  92  0   12   0    1    8
4            0    0    1   2  0    5   0    0    3
5           11    5   31  15  0  109   0    4   13
6            1    3    0   0  0    1  90    0    5
7           15    8    3   3  0   11   0  259    8
8            3   10    1  20  0   30   3    4  183
